mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,Model 0,Residue,,,,,,
35.7,4,98,80,1915,14.4,79,1,dodge colt hatchback custom,23.51457286,148.4846345,,,,,,
27.4,4,121,80,2670,15,79,1,amc spirit dl,23.51457286,15.09654403,,,,,,
25.4,5,183,77,3530,20.1,79,2,mercedes benz 300d,23.51457286,3.554835484,,,,,,
31.9,4,89,71,1925,14,79,2,vw rabbit custom,23.51457286,70.31538825,,,,,,
27.2,4,141,71,3190,24.8,79,2,peugeot 504,23.51457286,13.58237317,,,,,,
34.5,4,105,70,2150,14.9,79,1,plymouth horizon tc3,23.51457286,120.6796094,,,,,,
34.2,4,105,70,2200,13.2,79,1,plymouth horizon,23.51457286,114.1783531,,,,,,
37.3,4,91,69,2130,14.7,79,2,fiat strada custom,23.51457286,190.0380013,,,,,,
34.1,4,86,65,1975,15.2,79,3,maxda glc deluxe,23.51457286,112.0512676,,,,,,
31.8,4,85,65,2020,19.2,79,3,datsun 210,23.51457286,68.64830282,,,,,,
17.7,6,231,165,3445,13.4,78,1,buick regal sport coupe (turbo),23.51457286,33.80925759,,,,,,
19.2,8,305,145,3425,13.2,78,1,chevrolet monte carlo landau,23.51457286,18.615539,,,,,,
19.4,8,318,140,3735,13.2,78,1,dodge diplomat,23.51457286,16.92970986,,,,,,
17.5,8,318,140,4080,13.7,78,1,dodge magnum xe,23.51457286,36.17508674,,,,,,
20.2,8,302,139,3570,12.8,78,1,mercury monarch ghia,23.51457286,10.98639327,,,,,,
18.1,8,302,139,3205,11.2,78,1,ford futura,23.51457286,29.3175993,,,,,,
16.2,6,163,133,3410,15.8,78,2,peugeot 604sl,23.51457286,53.50297619,,,,,,
17,6,163,125,3140,13.6,78,2,volvo 264gl,23.51457286,42.4396596,,,,,,
18.1,6,258,120,3410,15.1,78,1,amc concord d/l,23.51457286,29.3175993,,,,,,
21.6,4,121,115,2795,15.7,78,2,saab 99gle,23.51457286,3.665589253,,,,,,
19.9,8,260,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,23.51457286,13.06513699,,,,,,
18.6,6,225,110,3620,18.7,78,1,dodge aspen,23.51457286,24.15302644,,,,,,
23.2,4,156,105,2745,16.7,78,1,plymouth sapporo,23.51457286,0.098956087,,,,,,
20.6,6,231,105,3380,15.8,78,1,buick century special,23.51457286,8.494734981,,,,,,
19.2,6,231,105,3535,19.2,78,1,pontiac phoenix lj,23.51457286,18.615539,,,,,,
20.3,5,131,103,2830,15.9,78,2,audi 5000,23.51457286,10.3334787,,,,,,
20.5,6,225,100,3430,17.2,78,1,plymouth volare,23.51457286,9.087649554,,,,,,
27.2,4,119,97,2300,14.7,78,3,datsun 510,23.51457286,13.58237317,,,,,,
23.9,4,119,97,2405,14.9,78,3,datsun 200-sx,23.51457286,0.148554077,,,,,,
27.5,4,134,95,2560,14.2,78,3,toyota corona,23.51457286,15.88362945,,,,,,
21.1,4,134,95,2515,14.8,78,3,toyota celica gt liftback,23.51457286,5.830162117,,,,,,
20.5,6,200,95,3155,18.2,78,1,chevrolet malibu,23.51457286,9.087649554,,,,,,
19.4,6,232,90,3210,17.2,78,1,amc concord,23.51457286,16.92970986,,,,,,
25.1,4,140,88,2720,15.4,78,1,ford fairmont (man),23.51457286,2.513579203,,,,,,
23.8,4,151,85,2855,17.6,78,1,oldsmobile starfire sx,23.51457286,0.08146865,,,,,,
20.8,6,200,85,3070,16.7,78,1,mercury zephyr,23.51457286,7.368905836,,,,,,
20.2,6,200,85,2965,15.8,78,1,ford fairmont (auto),23.51457286,10.98639327,,,,,,
30.9,4,105,75,2230,14.5,78,1,dodge omni,23.51457286,54.54453398,,,,,,
31.5,4,89,71,1990,14.9,78,2,volkswagen scirocco,23.51457286,63.76704654,,,,,,
39.4,4,85,70,2070,18.6,78,3,datsun b210 gx,23.51457286,252.3467953,,,,,,
30,4,98,68,2155,16.5,78,1,chevrolet chevette,23.51457286,42.06076513,,,,,,
29.5,4,98,68,2135,16.6,78,3,honda accord lx,23.51457286,35.825338,,,,,,
36.1,4,98,66,1800,14.4,78,1,ford fiesta,23.51457286,158.3929762,,,,,,
36.1,4,91,60,1800,16.4,78,3,honda civic cvcc,23.51457286,158.3929762,,,,,,
32.8,4,78,52,1985,19.4,78,3,mazda glc deluxe,23.51457286,86.21915709,,,,,,
43.1,4,90,48,1985,21.5,78,2,volkswagen rabbit custom diesel,23.51457286,383.5889561,,,,,,
15.5,8,400,190,4325,12.2,77,1,chrysler cordoba,23.51457286,64.2333782,,,,,,
16,8,400,180,4220,11.1,77,1,pontiac grand prix lj,23.51457286,56.46880533,,,,,,
15.5,8,350,170,4165,11.4,77,1,chevrolet monte carlo landau,23.51457286,64.2333782,,,,,,
16,8,351,149,4335,14.5,77,1,ford thunderbird,23.51457286,56.46880533,,,,,,
17.5,8,305,145,3880,12.5,77,1,chevrolet caprice classic,23.51457286,36.17508674,,,,,,
15.5,8,318,145,4140,13.7,77,1,dodge monaco brougham,23.51457286,64.2333782,,,,,,
15,8,302,130,4295,14.9,77,1,mercury cougar brougham,23.51457286,72.49795106,,,,,,
21.5,4,121,110,2600,12.8,77,2,bmw 320i,23.51457286,4.058503826,,,,,,
21.5,3,80,110,2720,13.5,77,3,mazda rx-4,23.51457286,4.058503826,,,,,,
17.5,6,250,110,3520,16.4,77,1,chevrolet concours,23.51457286,36.17508674,,,,,,
17,8,260,110,4060,19,77,1,oldsmobile cutlass supreme,23.51457286,42.4396596,,,,,,
20.5,6,231,105,3425,16.9,77,1,buick skylark,23.51457286,9.087649554,,,,,,
19,6,225,100,3630,17.7,77,1,plymouth volare custom,23.51457286,20.38136815,,,,,,
18.5,6,250,98,3525,19,77,1,ford granada,23.51457286,25.14594101,,,,,,
22,6,146,97,2815,14.5,77,3,datsun 810,23.51457286,2.293930961,,,,,,
25.5,4,122,96,2300,15.5,77,1,plymouth arrow gs,23.51457286,3.941920911,,,,,,
25.5,4,140,89,2755,15.8,77,1,ford mustang ii 2+2,23.51457286,3.941920911,,,,,,
24.5,4,151,88,2740,16,77,1,pontiac sunbird coupe,23.51457286,0.97106664,,,,,,
33.5,4,98,83,2075,15.9,77,1,dodge colt m/m,23.51457286,99.70875508,,,,,,
30,4,111,80,2155,14.8,77,1,buick opel isuzu deluxe,23.51457286,42.06076513,,,,,,
30.5,4,97,78,2190,14.1,77,2,volkswagen dasher,23.51457286,48.79619227,,,,,,
29,4,97,78,1940,14.5,77,2,volkswagen rabbit custom,23.51457286,30.08991086,,,,,,
26,4,97,75,2265,18.2,77,3,toyota corolla liftback,23.51457286,6.177348047,,,,,,
33.5,4,85,70,1945,16.8,77,3,datsun f-10 hatchback,23.51457286,99.70875508,,,,,,
31.5,4,98,68,2045,18.5,77,3,honda accord cvcc,23.51457286,63.76704654,,,,,,
30,4,97,67,1985,16.4,77,3,subaru dl,23.51457286,42.06076513,,,,,,
30.5,4,98,63,2051,17,77,1,chevrolet chevette,23.51457286,48.79619227,,,,,,
36,4,79,58,1825,18.6,77,2,renault 5 gtl,23.51457286,155.8858908,,,,,,
16.5,8,350,180,4380,12.1,76,1,cadillac seville,23.51457286,49.20423247,,,,,,
14.5,8,351,152,4215,12.8,76,1,ford gran torino,23.51457286,81.26252393,,,,,,
16,8,318,150,4190,13,76,1,dodge coronet brougham,23.51457286,56.46880533,,,,,,
13,8,318,150,3940,13.2,76,1,plymouth volare premier v8,23.51457286,110.5562425,,,,,,
13,8,318,150,3755,14,76,1,dodge d100,23.51457286,110.5562425,,,,,,
13,8,350,145,4055,12,76,1,chevy c10,23.51457286,110.5562425,,,,,,
17.5,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic,23.51457286,36.17508674,,,,,,
13,8,302,130,3870,15,76,1,ford f108,23.51457286,110.5562425,,,,,,
16.5,6,168,120,3820,16.7,76,2,mercedes-benz 280s,23.51457286,49.20423247,,,,,,
15.5,8,304,120,3962,13.9,76,1,amc matador,23.51457286,64.2333782,,,,,,
18.5,6,250,110,3645,16.2,76,1,pontiac ventura sj,23.51457286,25.14594101,,,,,,
19,6,156,108,2930,15.5,76,3,toyota mark ii,23.51457286,20.38136815,,,,,,
22,6,250,105,3353,14.5,76,1,chevrolet nova,23.51457286,2.293930961,,,,,,
20,4,130,102,3150,15.7,76,2,volvo 245,23.51457286,12.35222242,,,,,,
22,6,225,100,3233,15.4,76,1,plymouth valiant,23.51457286,2.293930961,,,,,,
20,6,225,100,3651,17.7,76,1,dodge aspen se,23.51457286,12.35222242,,,,,,
17.5,6,258,95,3193,17.8,76,1,amc pacer d/l,23.51457286,36.17508674,,,,,,
25,4,140,92,2572,14.9,76,1,capri ii,23.51457286,2.206493775,,,,,,
22.5,6,232,90,3085,17.6,76,1,amc hornet,23.51457286,1.029358097,,,,,,
19,4,120,88,3270,21.9,76,2,peugeot 504,23.51457286,20.38136815,,,,,,
28,4,107,86,2464,15.5,76,2,fiat 131,23.51457286,20.11905659,,,,,,
27,4,101,83,2202,15.3,76,2,renault 12tl,23.51457286,12.14820232,,,,,,
25,4,116,81,2220,16.9,76,2,opel 1900,23.51457286,2.206493775,,,,,,
24,6,200,81,3012,17.6,76,1,ford maverick,23.51457286,0.235639504,,,,,,
26,4,98,79,2255,17.7,76,1,dodge colt,23.51457286,6.177348047,,,,,,
18,6,250,78,3574,21,76,1,ford granada ghia,23.51457286,30.41051388,,,,,,
28,4,97,75,2155,16.4,76,3,toyota corolla,23.51457286,20.11905659,,,,,,
26.5,4,140,72,2565,13.6,76,1,ford pinto,23.51457286,8.912775182,,,,,,
29.5,4,97,71,1825,12.2,76,2,volkswagen rabbit,23.51457286,35.825338,,,,,,
32,4,85,70,1990,17,76,3,datsun b-210,23.51457286,72.00247367,,,,,,
29,4,90,70,1937,14.2,76,2,vw rabbit,23.51457286,30.08991086,,,,,,
24.5,4,98,60,2164,22.1,76,1,chevrolet woody,23.51457286,0.97106664,,,,,,
33,4,91,53,1795,17.4,76,3,honda civic,23.51457286,89.97332795,,,,,,
29,4,85,52,2035,22.2,76,1,chevrolet chevette,23.51457286,30.08991086,,,,,,
16,8,400,170,4668,11.5,75,1,pontiac catalina,23.51457286,56.46880533,,,,,,
16,8,318,150,4498,14.5,75,1,plymouth grand fury,23.51457286,56.46880533,,,,,,
14,8,351,148,4657,13.5,75,1,ford ltd,23.51457286,90.52709679,,,,,,
15,8,350,145,4440,14,75,1,chevrolet bel air,23.51457286,72.49795106,,,,,,
13,8,302,129,3169,12,75,1,ford mustang ii,23.51457286,110.5562425,,,,,,
25,4,121,115,2671,13.5,75,2,saab 99le,23.51457286,2.206493775,,,,,,
21,6,231,110,3039,15,75,1,buick skyhawk,23.51457286,6.32307669,,,,,,
20,8,262,110,3221,13.5,75,1,chevrolet monza 2+2,23.51457286,12.35222242,,,,,,
17,6,231,110,3907,21,75,1,buick century,23.51457286,42.4396596,,,,,,
15,6,258,110,3730,19,75,1,amc matador,23.51457286,72.49795106,,,,,,
18,6,250,105,3459,16,75,1,chevrolet nova,23.51457286,30.41051388,,,,,,
16,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu,23.51457286,56.46880533,,,,,,
20,6,232,100,2914,16,75,1,amc gremlin,23.51457286,12.35222242,,,,,,
22,4,121,98,2945,14.5,75,2,volvo 244dl,23.51457286,2.293930961,,,,,,
24,4,119,97,2545,17,75,3,datsun 710,23.51457286,0.235639504,,,,,,
18,6,171,97,2984,14.5,75,1,ford pinto,23.51457286,30.41051388,,,,,,
24,4,134,96,2702,13.5,75,3,toyota corona,23.51457286,0.235639504,,,,,,
23,4,115,95,2694,15,75,2,audi 100ls,23.51457286,0.264785233,,,,,,
19,6,225,95,3264,16,75,1,plymouth valiant custom,23.51457286,20.38136815,,,,,,
18,6,225,95,3785,19,75,1,plymouth fury,23.51457286,30.41051388,,,,,,
19,6,232,90,3211,17,75,1,amc pacer,23.51457286,20.38136815,,,,,,
23,4,120,88,2957,17,75,2,peugeot 504,23.51457286,0.264785233,,,,,,
23,4,140,83,2639,17,75,1,ford pinto,23.51457286,0.264785233,,,,,,
23,4,140,78,2592,18.5,75,1,pontiac astro,23.51457286,0.264785233,,,,,,
29,4,97,75,2171,16,75,3,toyota corolla,23.51457286,30.08991086,,,,,,
15,6,250,72,3432,21,75,1,mercury monarch,23.51457286,72.49795106,,,,,,
15,6,250,72,3158,19.5,75,1,ford maverick,23.51457286,72.49795106,,,,,,
25,4,90,71,2223,16.5,75,2,volkswagen dasher,23.51457286,2.206493775,,,,,,
29,4,90,70,1937,14,75,2,volkswagen rabbit,23.51457286,30.08991086,,,,,,
33,4,91,53,1795,17.5,75,3,honda civic cvcc,23.51457286,89.97332795,,,,,,
14,8,318,150,4457,13.5,74,1,dodge coronet custom (sw),23.51457286,90.52709679,,,,,,
14,8,304,150,4257,15.5,74,1,amc matador (sw),23.51457286,90.52709679,,,,,,
13,8,350,150,4699,14.5,74,1,buick century luxus (sw),23.51457286,110.5562425,,,,,,
16,8,302,140,4141,14,74,1,ford gran torino,23.51457286,56.46880533,,,,,,
14,8,302,140,4638,16,74,1,ford gran torino (sw),23.51457286,90.52709679,,,,,,
16,6,258,110,3632,18,74,1,amc matador,23.51457286,56.46880533,,,,,,
18,6,225,105,3613,16.5,74,1,plymouth satellite sebring,23.51457286,30.41051388,,,,,,
21,6,200,100,2875,17,74,1,ford maverick,23.51457286,6.32307669,,,,,,
19,6,232,100,2901,16,74,1,amc hornet,23.51457286,20.38136815,,,,,,
16,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic,23.51457286,56.46880533,,,,,,
15,6,250,100,3336,17,74,1,chevrolet nova,23.51457286,72.49795106,,,,,,
24,4,120,97,2489,15,74,3,honda civic,23.51457286,0.235639504,,,,,,
20,6,198,95,3102,16.5,74,1,plymouth duster,23.51457286,12.35222242,,,,,,
26,4,108,93,2391,15.5,74,3,subaru,23.51457286,6.177348047,,,,,,
29,4,98,83,2219,16.5,74,2,audi fox,23.51457286,30.08991086,,,,,,
26,4,122,80,2451,16.5,74,1,ford pinto,23.51457286,6.177348047,,,,,,
26,4,97,78,2300,14.5,74,2,opel manta,23.51457286,6.177348047,,,,,,
28,4,90,75,2125,14.5,74,1,dodge colt,23.51457286,20.11905659,,,,,,
26,4,116,75,2246,14,74,2,fiat 124 tc,23.51457286,6.177348047,,,,,,
25,4,140,75,2542,17,74,1,chevrolet vega,23.51457286,2.206493775,,,,,,
24,4,90,75,2108,15.5,74,2,fiat 128,23.51457286,0.235639504,,,,,,
31,4,79,67,1950,19,74,3,datsun b210,23.51457286,56.0316194,,,,,,
31,4,79,67,2000,16,74,2,fiat x1.9,23.51457286,56.0316194,,,,,,
26,4,79,67,1963,15.5,74,2,volkswagen dasher,23.51457286,6.177348047,,,,,,
32,4,71,65,1836,21,74,3,toyota corolla 1200,23.51457286,72.00247367,,,,,,
32,4,83,61,2003,19,74,3,datsun 710,23.51457286,72.00247367,,,,,,
31,4,76,52,1649,16.5,74,3,toyota corona,23.51457286,56.0316194,,,,,,
16,8,400,230,4278,9.5,73,1,pontiac grand prix,23.51457286,56.46880533,,,,,,
12,8,455,225,4951,11,73,1,buick electra 225 custom,23.51457286,132.5853882,,,,,,
13,8,440,215,4735,11,73,1,chrysler new yorker brougham,23.51457286,110.5562425,,,,,,
12,8,429,198,4952,11.5,73,1,mercury marquis brougham,23.51457286,132.5853882,,,,,,
12,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,23.51457286,132.5853882,,,,,,
11,8,350,180,3664,11,73,1,oldsmobile omega,23.51457286,156.614534,,,,,,
13,8,350,175,4100,13,73,1,buick century 350,23.51457286,110.5562425,,,,,,
13,8,360,175,3821,11,73,1,amc ambassador brougham,23.51457286,110.5562425,,,,,,
13,8,360,170,4654,13,73,1,plymouth custom suburb,23.51457286,110.5562425,,,,,,
12,8,400,167,4906,12.5,73,1,ford country,23.51457286,132.5853882,,,,,,
13,8,351,158,4363,13,73,1,ford ltd,23.51457286,110.5562425,,,,,,
15,8,318,150,3777,12.5,73,1,dodge coronet custom,23.51457286,72.49795106,,,,,,
15,8,318,150,3399,11,73,1,dodge dart custom,23.51457286,72.49795106,,,,,,
14,8,304,150,3672,11.5,73,1,amc matador,23.51457286,90.52709679,,,,,,
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,23.51457286,90.52709679,,,,,,
13,8,400,150,4464,12,73,1,chevrolet caprice classic,23.51457286,110.5562425,,,,,,
11,8,400,150,4997,14,73,1,chevrolet impala,23.51457286,156.614534,,,,,,
15,8,350,145,4082,13,73,1,chevrolet monte carlo s,23.51457286,72.49795106,,,,,,
13,8,350,145,3988,13,73,1,chevrolet malibu,23.51457286,110.5562425,,,,,,
14,8,302,137,4042,14.5,73,1,ford gran torino,23.51457286,90.52709679,,,,,,
20,6,156,122,2807,13.5,73,3,toyota mark ii,23.51457286,12.35222242,,,,,,
19,4,121,112,2868,15.5,73,2,volvo 144ea,23.51457286,20.38136815,,,,,,
24,4,121,110,2660,14,73,2,saab 99le,23.51457286,0.235639504,,,,,,
21,6,155,107,2472,14,73,1,mercury capri v6,23.51457286,6.32307669,,,,,,
18,6,225,105,3121,16.5,73,1,plymouth valiant,23.51457286,30.41051388,,,,,,
18,6,232,100,2945,16,73,1,amc hornet,23.51457286,30.41051388,,,,,,
18,6,232,100,2789,15,73,1,amc gremlin,23.51457286,30.41051388,,,,,,
16,6,250,100,3278,18,73,1,chevrolet nova custom,23.51457286,56.46880533,,,,,,
23,6,198,95,2904,16,73,1,plymouth duster,23.51457286,0.264785233,,,,,,
22,4,108,94,2379,16.5,73,3,datsun 610,23.51457286,2.293930961,,,,,,
20,4,114,91,2582,14,73,2,audi 100ls,23.51457286,12.35222242,,,,,,
26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,23.51457286,6.177348047,,,,,,
